chunk_id;node_1;node_2;edge
912744ec188844d78df3f3a89d7d069c;vassal;renew their oaths;Upon the ascension to the throne, all vassals have to renew their oaths.
912744ec188844d78df3f3a89d7d069c;medieval rule;personal thing;Medieval rule was an intensely personal thing.
912744ec188844d78df3f3a89d7d069c;vassal;swear fealty to another man, not to an institution;A vassal swears fealty to another man, not to an institution.
e0172dee801847089db453675b557c09;institution;vassals;The institution has vassals that are associated with it.
e0172dee801847089db453675b557c09;vassals;oaths;Vassals have to renew their oaths upon the ascension of a new ruler.
e0172dee801847089db453675b557c09;oath;renewal;The act of renewing an oath is related to the oath itself.
e0172dee801847089db453675b557c09;renewal of oaths;new oath;Renewing an oath is similar to making a new oath.
e0172dee801847089db453675b557c09;personal rule;ruler's presence;Personal rule requires the ruler to be present.
e0172dee801847089db453675b557c09;oath of fealty;service in war;Vassals promise to serve their liege lord in war as part of the oath of fealty.
e0172dee801847089db453675b557c09;oath of fealty;protection;The liege lord is obliged to protect the vassal as part of the oath of fealty.
e0172dee801847089db453675b557c09;oath of fealty;access to justice;The liege lord is obliged to give access to justice as part of the oath of fealty.
e0172dee801847089db453675b557c09;oath of fealty;listening to council;The liege lord is obliged to listen to the vassal's council as part of the oath of fealty.
e0172dee801847089db453675b557c09;otto i;italy;Otto I disappeared to Italy for his coronation as emperor in 962.
e0172dee801847089db453675b557c09;otto i's saxon vassals;hermann billung;Hermann Billung acted on Otto I's behalf while he was in Italy.
e0172dee801847089db453675b557c09;hermann billung;acting on otto i's behalf;Hermann Billung acted on Otto I's behalf while he was in Italy.
e0172dee801847089db453675b557c09;hermann billung;pretending to be the real duke;Hermann Billung transitioned from acting on Otto I's behalf to pretending to be the real duke.
e0172dee801847089db453675b557c09;hermann billung;calling a meeting;Hermann Billung called a meeting in the 970s.
7ad41a6601424773bbab520a103e7143;republic of hungary;balkans;The Republic of Hungary is located at the border of the Balkans.
7ad41a6601424773bbab520a103e7143;republic of hungary;moravians;The Moravians stepped into the power vacuum created by the demise of the Republic of Hungary.
7ad41a6601424773bbab520a103e7143;moravians;great moravian empire;The Moravians created the Great Moravian Empire.
7ad41a6601424773bbab520a103e7143;great moravian empire;slavic peoples;The Great Moravian Empire was created by the Slavic peoples, the Moravians.
7ad41a6601424773bbab520a103e7143;great moravian empire;southern poland, western hungary;The power of the Great Moravian Empire stretched from Southern Poland to Western Hungary.
7ad41a6601424773bbab520a103e7143;great moravian empire;ratislav, svatopluk;The Great Moravian Empire reached its peak under Ratislav and Svatopluk.
7ad41a6601424773bbab520a103e7143;great moravian empire;consolidated protofeudal state, ruling dynasty, castles, church, economy;The Great Moravian Empire was a consolidated protofeudal state with its own ruling dynasty, a complex of castles, an independently organized Church and a developed economy.
7ad41a6601424773bbab520a103e7143;great moravian empire;christianization period, central europe;The Great Moravian Empire was an important state entity of the Christianization period in Central Europe.
7ad41a6601424773bbab520a103e7143;great moravian empire;byzantian empire, slavonic literature and material heritage of the west-slavonic peoples;"The Great Moravian Empire had cultural ties to the Byzantian Empire; moreover, its culture laid the foundations of Slavonic literature and material heritage of the West-Slavonic peoples."
7ad41a6601424773bbab520a103e7143;saxons;charlemagne;The text compares the sophistication of the Great Moravian Empire to the Saxons before Charlemagne had arrived.
8471521c2e0542cf8eea32921f20e167;peoples;carolingian empire;The peoples were vassals of the Carolingian empire
8471521c2e0542cf8eea32921f20e167;peoples;saxons;The peoples were more sophisticated than the Saxons before Charlemagne
8471521c2e0542cf8eea32921f20e167;peoples;moravians;The peoples were the Moravians who were vassals of the Carolingian empire
8471521c2e0542cf8eea32921f20e167;carolingian empire;frankish kingdom of east francia;The Carolingian empire later became the kingdom of East Francia
8471521c2e0542cf8eea32921f20e167;carolingian empire;bavarian missionaries;The Carolingian empire forced the Moravians to admit Bavarian missionaries
8471521c2e0542cf8eea32921f20e167;moravians;bavarian missionaries;The Moravians were forced to admit Bavarian missionaries
8471521c2e0542cf8eea32921f20e167;moravians;prince ratislav;Prince Ratislav was a ruler of the Moravians
8471521c2e0542cf8eea32921f20e167;prince ratislav;pope;Prince Ratislav asked the pope for fresh missionaries
8471521c2e0542cf8eea32921f20e167;pope;franks;The pope did not want to cross the Franks
8471521c2e0542cf8eea32921f20e167;moravians;emperor in constantinople;The Moravians turned to the emperor in Constantinople for missionaries
8471521c2e0542cf8eea32921f20e167;emperor in constantinople;missionaries;The emperor in Constantinople sent missionaries to the Moravians
8471521c2e0542cf8eea32921f20e167;missionaries;two brothers;Two brothers were the missionaries
8b3d3f4c5a70494aaa91d77cfb35c0c7;constantinople;two brothers (konstantine and method);The two brothers were sent from Constantinople to Moravia by the emperor.
8b3d3f4c5a70494aaa91d77cfb35c0c7;two brothers (konstantine and method);slavic language;The two brothers spoke a Slavic language, which was crucial for their mission.
8b3d3f4c5a70494aaa91d77cfb35c0c7;slavic language;church slavonic;The language spoken by the two brothers later became known as Church Slavonic.
8b3d3f4c5a70494aaa91d77cfb35c0c7;church slavonic;orthodox rites;Church Slavonic is still used in orthodox rites across eastern Europe.
8b3d3f4c5a70494aaa91d77cfb35c0c7;two brothers (konstantine and method);glagolica;The two brothers invented a Slavic script called Glagolica to write down Church Slavonic.
8b3d3f4c5a70494aaa91d77cfb35c0c7;glagolica;kyrillic alphabet;The Glagolica script was replaced by the Kyrillic alphabet in the 10th or 11th century.
8b3d3f4c5a70494aaa91d77cfb35c0c7;slavic language;church liturgy;The two brothers convinced the pope to allow the Slavic language in the church liturgy.
8b3d3f4c5a70494aaa91d77cfb35c0c7;church liturgy;hebrew, greek and latin;The Slavic language was allowed to be used in the church liturgy alongside Hebrew, Greek and Latin.
048a2f92d52944c6a4e4b8ecfa19bf69;hebrew, greek and latin;western europeans hearing the bible;represent languages that western Europeans could finally hear the bible in after the reformation
048a2f92d52944c6a4e4b8ecfa19bf69;the reformation;western europeans hearing the bible in a language they understood;led to the eventual success of western Europeans being able to hear the bible in a language most of them understood
048a2f92d52944c6a4e4b8ecfa19bf69;konstantine (st cyrill);the reformation;lived before the time of the reformation
048a2f92d52944c6a4e4b8ecfa19bf69;konstantine (st cyrill);great diplomatic success;was involved in a great diplomatic success
048a2f92d52944c6a4e4b8ecfa19bf69;konstantine (st cyrill);basilica de san clemente;was buried in the Basilica de San Clemente
048a2f92d52944c6a4e4b8ecfa19bf69;basilica de san clemente;slavic nations and others;has a corner of the underground church covered in dedications from Slavic nations as well as others
048a2f92d52944c6a4e4b8ecfa19bf69;konstantine (st cyrill);apostles to the slavs;better known as St Cyrill and together with his brother is known as the apostles to the Slavs
048a2f92d52944c6a4e4b8ecfa19bf69;st cyrill and method;recovery of the relics of san clemente;made famous for the recovery of the relics of San Clemente
048a2f92d52944c6a4e4b8ecfa19bf69;san clemente;being thrown overboard in the black sea with an anchor attached to his feet;was martyred by being thrown overboard in the Black Sea with an anchor attached to his feet
048a2f92d52944c6a4e4b8ecfa19bf69;san clemente's body including anchor;miraculously recovered;was miraculously recovered
48fd00018a494898b8c153a30d477ffc;saint clement;year 100 ad;Saint Clement was found around the year 100 AD
48fd00018a494898b8c153a30d477ffc;saint clement's body;crimea beach;Saint Clement's body, including his anchor, was preserved for 700 years on a beach in Crimea
48fd00018a494898b8c153a30d477ffc;cyrill;saint clement;Cyrill found Saint Clement on the beach in Crimea
48fd00018a494898b8c153a30d477ffc;saint clement;basilica of san clemente;The Basilica of San Clemente was dedicated to be the final resting place for Saint Clement
48fd00018a494898b8c153a30d477ffc;saint clement;patron saint of seafarers;Saint Clement is the patron saint of seafarers
48fd00018a494898b8c153a30d477ffc;saint cyrill and saint method;importance;Saint Cyrill and Saint Method matter because of their significance in the pope's submission and the Moravian church
48fd00018a494898b8c153a30d477ffc;saint cyrill and saint method;greek orthodox tradition;Saint Cyrill and Saint Method were from Constantinople and linked to what would later be the Greek orthodox tradition
48fd00018a494898b8c153a30d477ffc;moravian church;pope's submission;The Moravian church was submitted to the pope
48fd00018a494898b8c153a30d477ffc;east francians;desire;The East Francians wanted the Moravian church to report to the bishop of Regensburg
48fd00018a494898b8c153a30d477ffc;svatopluk;rebellion;The Carolingians encouraged Svatopluk to rebel
a18cc6ee8635488ab4ba50513d04cb36;carolingians;svatopluk;The Carolingians encouraged Svatopluk to rebel against Ratislav.
a18cc6ee8635488ab4ba50513d04cb36;svatopluk;rebellion;Svatopluk was successful in his rebellion against Ratislav.
a18cc6ee8635488ab4ba50513d04cb36;svatopluk;bavarian church;After being installed, Svatopluk handed St. Method over to the Bavarian church.
a18cc6ee8635488ab4ba50513d04cb36;bavarian church;st. method;The Bavarian church imprisoned St. Method in a monastery.
a18cc6ee8635488ab4ba50513d04cb36;pope;st. method;The pope forced the Bavarians to release St. Method.
a18cc6ee8635488ab4ba50513d04cb36;pope;svatopluk;The pope made St. Method an archbishop in defiance of Svatopluk.
a18cc6ee8635488ab4ba50513d04cb36;moravian slavic church;period of time;This period of Moravian Slavic church came to an end by 890.
a18cc6ee8635488ab4ba50513d04cb36;method;pupils;Method had pupils.
a18cc6ee8635488ab4ba50513d04cb36;wiching;slavic language;Wiching banned the use of the Slavic language in Moravian church services.
a18cc6ee8635488ab4ba50513d04cb36;wiching;method’s pupils;Wiching expelled Method’s pupils.
a18cc6ee8635488ab4ba50513d04cb36;local warlords;moravian empire;The local warlords on the periphery of the Moravian empire began fighting it.
9dd420f1a6cc44b6a03b937e809da633;great moravia;fall of great moravia;The fall of Great Moravia is a significant event that sets the stage for the actions of the Bohemian warlords.
9dd420f1a6cc44b6a03b937e809da633;local warlords;fighting each other;After the fall of Great Moravia, local warlords begin to fight for control of the region.
9dd420f1a6cc44b6a03b937e809da633;bohemian warlords;slavic names;The pronunciation of Slavic names, including those of Bohemian warlords, may be difficult for some speakers.
9dd420f1a6cc44b6a03b937e809da633;bořivoj;house of premyslid;Bořivoj is the first member of the House of Premyslid to rule Bohemia.
9dd420f1a6cc44b6a03b937e809da633;bořivoj;ruling bohemia;Bořivoj is the first of the House of Premyslid to rule Bohemia until 1306.
9dd420f1a6cc44b6a03b937e809da633;bořivoj;base in central bohemia;Bořivoj's base of operations is located in central Bohemia, a fertile area at the intersection of multiple long-distance trade routes.
9dd420f1a6cc44b6a03b937e809da633;bořivoj;playing powers against each other;Bořivoj plays a smart political game of playing the major powers out against each other.
9dd420f1a6cc44b6a03b937e809da633;bořivoj;converting to christianity;Bořivoj's conversion to Christianity gives him an advantage and makes him a more attractive ally for the major powers.
a1e5bb11100b4eafad82d8d326d1674a;conversion to christianity;major powers in the region;The act of converting to Christianity made him a preferred partner for the major powers in the region.
a1e5bb11100b4eafad82d8d326d1674a;conversion to christianity;missionaries;His conversion to Christianity allowed different kinds of missionaries to enter his territory.
a1e5bb11100b4eafad82d8d326d1674a;sons;father's position;His sons expanded their influence from their father's established position.
a1e5bb11100b4eafad82d8d326d1674a;city of prague;rock dominating the moldau/vitava river;The city of Prague was founded on a rock that dominated the Moldau/Vitava River, providing a strategic location.
a1e5bb11100b4eafad82d8d326d1674a;premislids;competing warlords;The Premislids had gained control of most of Bohemia after eliminating the last of their competing warlords.
a1e5bb11100b4eafad82d8d326d1674a;wenceslaus and boleslaus;rule;Wenceslaus and Boleslaus were two brothers who shared the rule in Bohemia.
a1e5bb11100b4eafad82d8d326d1674a;wenceslaus;elder brother;Wenceslaus was the elder of the two brothers.
a1e5bb11100b4eafad82d8d326d1674a;old game;playing back and forth with the king of east francia, bavaria and moravia;The old practice of politically interacting with the king of East Francia, Bavaria, and Moravia was no longer applicable.
a1e5bb11100b4eafad82d8d326d1674a;moravia;hungarians;Moravia had been replaced by the Hungarians in the region.
29d6dbd3c7be42a684bf7b6ac2e094f2;moravia;hungarians;Moravia was replaced by the Hungarians
29d6dbd3c7be42a684bf7b6ac2e094f2;kingdom of east francia;king henry the fowler;The Kingdom of East Francia had reconsolidated under King Henry the Fowler
29d6dbd3c7be42a684bf7b6ac2e094f2;bavaria;king henry the fowler;Bavaria had come back into the fold, under King Henry the Fowler
29d6dbd3c7be42a684bf7b6ac2e094f2;religious issue;latin rite, orthodox rite, pagan;The religious issue could no longer be kept in limbo. It was Latin or orthodox, or even pagan
29d6dbd3c7be42a684bf7b6ac2e094f2;wenceslaus;henry the fowler and the latin rite;Wenceslaus tilted towards Henry the Fowler and the Latin rite
29d6dbd3c7be42a684bf7b6ac2e094f2;armoured knights;pointy spears, theological doubt;The armoured knights sent by Henry had pointy spears which cleared up any theological doubt Wenceslaus might have had
29d6dbd3c7be42a684bf7b6ac2e094f2;wenceslaus;young catholic, expelled the pupils of cyrill and method, pushed conversion amongst the pagans;Wenceslaus became a devout catholic, expelled the pupils of Cyrill and Method and pushed conversion amongst the pagans with the same arguments that convinced him
29d6dbd3c7be42a684bf7b6ac2e094f2;general population;wenceslaus, political direction;The general population did not agree with Wenceslaus's political direction
29d6dbd3c7be42a684bf7b6ac2e094f2;boleslaus;political direction, government, brother's vital status;Boleslaus decided that political direction had to change, which meant changing the government and that meant changing his brother's vital status from living to ...
2a31d5c63b724888a398b38f33fa5967;changing the government;change in vital status of his brother;Changing the government resulted in a change in the vital status of his brother from living to dead
2a31d5c63b724888a398b38f33fa5967;change in vital status of his brother;callous behavior;Changing the vital status of his brother might be considered callous
2a31d5c63b724888a398b38f33fa5967;death of king henry the fowler;ascension of otto to the throne;The death of King Henry the Fowler led to the ascension of Otto to the throne
2a31d5c63b724888a398b38f33fa5967;otto;half-hearted attempt to bring boleslaus to heel;Otto made a half-hearted attempt to bring Boleslaus to heel after ascending to the throne
2a31d5c63b724888a398b38f33fa5967;half-hearted attempt to bring boleslaus to heel;sending the legion of thieves from merseburg into bohemia;The half-hearted attempt to bring Boleslaus to heel involved sending the legion of thieves from Merseburg into Bohemia
2a31d5c63b724888a398b38f33fa5967;legion of thieves from merseburg;convicts given a choice between losing their heads or other extremities;The legion of thieves from Merseburg was made up entirely of convicts who were given the choice between losing their heads or other extremities
2a31d5c63b724888a398b38f33fa5967;skirmish with boleslaus troops;initial success of the legion of thieves from merseburg;The legion of thieves from Merseburg achieved an initial success in a skirmish with Boleslaus troops
2a31d5c63b724888a398b38f33fa5967;discipline of the legion of thieves from merseburg;crumbling after initial success;The discipline of the legion of thieves from Merseburg crumbled after their initial success in the skirmish with Boleslaus troops
2a31d5c63b724888a398b38f33fa5967;crumbling of discipline of the legion of thieves from merseburg;retaliation by boleslaus troops and loss of limb;The crumbling of discipline of the legion of thieves from Merseburg led to retaliation by Boleslaus troops and the loss of limb that had always been inevitable
2a31d5c63b724888a398b38f33fa5967;otto i;caught up in near constant civil wars;Otto I was caught up in near constant civil wars, limiting his bandwidth to go after the Bohemian semi pagans
2a31d5c63b724888a398b38f33fa5967;civil wars;limiting otto i's bandwidth;The civil wars limited Otto I's bandwidth to go after the Bohemian semi pagans
2a31d5c63b724888a398b38f33fa5967;otto i;taking until 950 to subdue bohemian semi pagans;It took Otto I until 950 to subdue the Bohemian semi pagans
2b20a359dd6d443d9b6529087d84066e;bohemian semi pagans;civil wars;The Bohemian semi pagans were caught up in near constant civil wars.
2b20a359dd6d443d9b6529087d84066e;duke boleslaus i of bohemia;making an attempt at bringing boleslaus to heel;It took the Duke until 950 before he could make another attempt at bringing Boleslaus to heel.
2b20a359dd6d443d9b6529087d84066e;duke boleslaus i of bohemia;army;Duke Boleslaus I of Bohemia came with all the might his father had created and he had built upon.
2b20a359dd6d443d9b6529087d84066e;boleslaus;army;Boleslaus took one look at the army that had assembled before his castle.
2b20a359dd6d443d9b6529087d84066e;boleslaus;vassal status in the east francian kingdom;Boleslaus accepted vassal status in the East Francian kingdom.
2b20a359dd6d443d9b6529087d84066e;bohemian dukes and later kings;providing military assistance and involvement in the election of the emperor;The Bohemian dukes and later kings could be called to provide military assistance and were involved in the election of the emperor.
2b20a359dd6d443d9b6529087d84066e;kings and emperors;travel to prague;The Kings and emperors rarely traveled to Prague.
2b20a359dd6d443d9b6529087d84066e;justice, taxation, building of castles and cities;bohemian dukes and later kings;Justice, taxation, building of castles and cities were under the control of the Bohemian dukes and later kings.
f8af01230d4a4f04aadcd9466936e1db;civil wars;bohemian ruler;The Bohemian ruler was responsible for resolving civil wars.
f8af01230d4a4f04aadcd9466936e1db;bohemian ruler;justice, taxation, building of castles and cities;The Bohemian ruler had the sole responsibility for justice, taxation, building of castles and cities.
f8af01230d4a4f04aadcd9466936e1db;bohemian ruler;bishop of prague;The bishop of Prague became a direct report to the archbishop of Mainz, under the Bohemian ruler.
f8af01230d4a4f04aadcd9466936e1db;boleslaus;latin christianity;Boleslaus embraced Latin Christianity.
f8af01230d4a4f04aadcd9466936e1db;boleslaus;cult of his murdered brother;Boleslaus sponsored the cult of his murdered brother, who is now known as Good King Wenceslaus.
f8af01230d4a4f04aadcd9466936e1db;boleslaus;good king wenceslaus;Boleslaus caused the martyrdom of Good King Wenceslaus, who was a holy king of Bohemia.
f8af01230d4a4f04aadcd9466936e1db;bohemia;trade in slaves;Bohemia flourished through the trade in slaves between east and west.
f8af01230d4a4f04aadcd9466936e1db;local aristocrats;regular raids into silesia and northern moravia;The local aristocrats were satisfied through regular raids into Silesia and Northern Moravia by Boleslaus.
f8af01230d4a4f04aadcd9466936e1db;boleslaus' son, duke boleslaus ii;end of economic model;The economic model under Boleslaus came to an end under his son, duke Boleslaus II.
9e984b449e2c49338bb8f48c0ac557f3;economic model;boleslaus son, duke boleslaus ii;The economic model came to an end during the rule of Boleslaus son, duke Boleslaus II
9e984b449e2c49338bb8f48c0ac557f3;boleslaus son, duke boleslaus ii;neighbors;The neighbors of Boleslaus son, duke Boleslaus II were the Poles, the Kievan Rus and the Hungarians
9e984b449e2c49338bb8f48c0ac557f3;neighbors;military might;The neighbors of Boleslaus son, duke Boleslaus II had consolidated into entities at least equal in military might to his raiding parties
9e984b449e2c49338bb8f48c0ac557f3;poland;developed later than bohemia;Poland developed quite a bit later than Bohemia
9e984b449e2c49338bb8f48c0ac557f3;poland;widukind;Widukind, a historian, is one of the earliest sources of information about Poland
9e984b449e2c49338bb8f48c0ac557f3;widukind;970;Widukind put pen to parchment in 970
9e984b449e2c49338bb8f48c0ac557f3;archaeologists;traces of smaller fortifications;Archaeologists have found traces of smaller fortifications that date back to the 8th and 9th century
9e984b449e2c49338bb8f48c0ac557f3;traces of smaller fortifications;systematically destroyed;These were systematically destroyed when new, much larger structures were erected sometime between 920 and 950
9e984b449e2c49338bb8f48c0ac557f3;new, much larger structures;erected between 920 and 950;New, much larger structures were erected sometime between 920 and 950
9e984b449e2c49338bb8f48c0ac557f3;gniesno and poznan;centers of power;Gniesno and Poznan became centres of power
9e984b449e2c49338bb8f48c0ac557f3;early polish rulers;expanded their territory in all directions;The early Polish rulers expanded their territory in all directions from Gniesno and Poznan
9e984b449e2c49338bb8f48c0ac557f3;early polish rulers;zone of influence;The zone of influence of the early Polish rulers ranged from the mouth of the Vistula River to the modern day Polish/Ukrainian border
9e984b449e2c49338bb8f48c0ac557f3;first polish ruler;mieszko;The first Polish ruler we hear about is Mieszko
8ad949a3488a430cae0864089c8cef99;river;polish/ukrainian border;The river is located at the modern day Polish/Ukrainian border.
8ad949a3488a430cae0864089c8cef99;mieszko;first polish ruler;Mieszko is referred to as the first Polish ruler in the context.
8ad949a3488a430cae0864089c8cef99;mieszko;westwards to the lower oder river;Mieszko had pushed his borders westwards to the lower Oder River.
8ad949a3488a430cae0864089c8cef99;mieszko;margrave gero;Mieszko had a brief encounter with Margrave Gero around 960.
8ad949a3488a430cae0864089c8cef99;margrave gero;out old friend;Mieszko refers to Margrave Gero as an old friend.
8ad949a3488a430cae0864089c8cef99;margrave gero;960;Mieszko had a brief encounter with Margrave Gero around 960.
8ad949a3488a430cae0864089c8cef99;mieszko;gniesno in the 10th century;After the encounter with Margrave Gero, Mieszko seems to have concluded a treaty of friendship with Otto the Great and married Dobrawa, and then he moved to Gniesno in the 10th century.
8ad949a3488a430cae0864089c8cef99;mieszko;treaty of friendship with otto the great;After the encounter with Margrave Gero, Mieszko seems to have concluded a treaty of friendship with Otto the Great.
8ad949a3488a430cae0864089c8cef99;mieszko;dobrawa, a daughter of duke boleslaus i of bohemia;After the encounter with Margrave Gero and concluding a treaty of friendship with Otto the Great, Mieszko married Dobrawa, a daughter of duke Boleslaus I of Bohemia.
8ad949a3488a430cae0864089c8cef99;dobrawa, a daughter of duke boleslaus i of bohemia;convert miesco to christianity;According to Thietmar, it was Dobrawa who converted Miesco to Christianity.
8ad949a3488a430cae0864089c8cef99;mieszko;politically opportune move;It is more likely that Miesco saw converting to Christianity as a politically opportune move.
8ad949a3488a430cae0864089c8cef99;mieszko;otto the great;The arrangement with Otto meant that Miesco did not have to fear an expansion of the Saxons beyond the Oder River.
8ad949a3488a430cae0864089c8cef99;saxons;otto the great;The arrangement with Otto meant that Miesco did not have to fear an expansion of the Saxons beyond the Oder River.
8ad949a3488a430cae0864089c8cef99;saxons;poland;The Saxons and the Poles had a common set of enemies, the Slavic people living in the marches who were constantly refusing to pay tribute and raiding into either Poland or Saxony.
8ad949a3488a430cae0864089c8cef99;poland;slavic people living in the marches;The Saxons and the Poles had a common set of enemies, the Slavic people living in the marches who were constantly refusing to pay tribute and raiding into either Poland or Saxony.
8ad949a3488a430cae0864089c8cef99;slavic people living in the marches;tribute and raiding into either poland or saxony;The Saxons and the Poles had a common set of enemies, the Slavic people living in the marches who were constantly refusing to pay tribute and raiding into either Poland or Saxony.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;christian powers;The Slavic pagan people are encircled by Christian powers, indicating a religious and geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;saxons;The Slavic pagan people live to the West of the Saxons, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;poland;The Slavic pagan people live to the East of Poland, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;bohemians;The Slavic pagan people live in the South of Bohemia, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;baltic sea;The Slavic pagan people live to the North of the Baltic Sea, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;denmark;The Slavic pagan people live beyond the Baltic Sea, where Denmark is located, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;tv series vikings;vikings;The TV series Vikings is about the history of the Vikings.
ca4f0d0d09ad40488bc03c767fc6e951;tv series vikings;modern academic research on the vikings;The TV series Vikings and modern academic research on the Vikings are two options for learning about early Danish history.
ca4f0d0d09ad40488bc03c767fc6e951;tv series vikings;scandinavian history podcast by mikael shainkman;The TV series Vikings and the Scandinavian History Podcast by Mikael Shainkman are two options for learning about early Danish history.
ca4f0d0d09ad40488bc03c767fc6e951;modern academic research on the vikings;vikings;Modern academic research on the Vikings is based on unreliable sagas about the Vikings.
ca4f0d0d09ad40488bc03c767fc6e951;modern academic research on the vikings;tv series vikings;Modern academic research on the Vikings tends to be dry, while the TV series Vikings is not.
ca4f0d0d09ad40488bc03c767fc6e951;scandinavian history podcast by mikael shainkman;vikings;The Scandinavian History Podcast by Mikael Shainkman provides information about the Vikings.
ca4f0d0d09ad40488bc03c767fc6e951;scandinavian history podcast by mikael shainkman;modern academic research on the vikings;The Scandinavian History Podcast by Mikael Shainkman strikes a balance between the believed and the believable, unlike modern academic research on the Vikings which can be dry.
2e207ece581a42c38e1e90c044428cee;relations between the danes and the east francian;first more intense encounter;The first more intense encounter between the Danes and the East Francian occurred in the 830s.
2e207ece581a42c38e1e90c044428cee;first more intense encounter;man called ansgar;The man called Ansgar, also known as saint Ansgar, was involved in the first more intense encounter between the Danes and the East Francian.
2e207ece581a42c38e1e90c044428cee;man called ansgar;frankish nobleman from near amiens;The man called Ansgar was a Frankish nobleman from near Amiens.
2e207ece581a42c38e1e90c044428cee;frankish nobleman from near amiens;joined the benedictine monastery in corbie as a child;The Frankish nobleman from near Amiens joined the Benedictine Monastery in Corbie as a child.
2e207ece581a42c38e1e90c044428cee;benedictine monastery in corbie;famed school and scriptorium;The Benedictine Monastery in Corbie was a famed school and scriptorium.
2e207ece581a42c38e1e90c044428cee;benedictine monastery in corbie;closely associated with the carolingian family;The Benedictine Monastery in Corbie was closely associated with the Carolingian family.
2e207ece581a42c38e1e90c044428cee;monks from corbie;roped into missionary work in the recently acquired land of the saxons;Monks from Corbie were roped into missionary work in the recently acquired land of the Saxons.
2e207ece581a42c38e1e90c044428cee;corvey;abbey founded by monks from corbie;Corvey is an abbey founded by monks from Corbie.
2e207ece581a42c38e1e90c044428cee;widukind of corvey;chronicler from corvey;Widukind of Corvey is a chronicler from Corvey.
2e207ece581a42c38e1e90c044428cee;ansgar;sent out to saxony in 822;Ansgar was sent out to Saxony in 822.
2e207ece581a42c38e1e90c044428cee;ansgar;extended his activities beyond the borders of the conquered territory;Ansgar extended his activities beyond the borders of the conquered territory.
2e207ece581a42c38e1e90c044428cee;ansgar;began preaching on the jutland peninsula;Ansgar began preaching on the Jutland peninsula.
2e207ece581a42c38e1e90c044428cee;ansgar;had some initial success and converted one of the minor danish rulers;Ansgar had some initial success and converted one of the minor Danish rulers.
2e207ece581a42c38e1e90c044428cee;converted danish ruler;lost power;The converted Danish ruler lost power.
4ba7283abe114014b8fc4fe118cad9e7;ansgar;minor danish ruler;Ansgar converted one of the minor Danish rulers
